census_block,provider_id,travel_time_type,travel_time_minutes
CB000,PR001,DRIVING,126.766666668
CB000,PR002,DRIVING,111.850000002
CB000,PR003,DRIVING,116.86666666800001
CB000,PR004,DRIVING,105.266666664
CB000,PR005,DRIVING,126.41666666399999
CB000,PR006,DRIVING,115.75000000200001
CB000,PR007,DRIVING,113.39999999999999
CB000,PR008,DRIVING,115.75000000200001
CB000,PR009,DRIVING,89.333333334
CB000,PR010,DRIVING,124.03333333199998
CB000,PR011,DRIVING,69.6
CB000,PR012,DRIVING,175.03333333199998
CB000,PR013,DRIVING,99.98333333400001
CB000,PR014,DRIVING,162.833333334
CB000,PR015,DRIVING,184.84999999800002
CB000,PR016,DRIVING,210.96666666599998
CB001,PR001,DRIVING,62.166666666000005
CB001,PR002,DRIVING,92.683333332
CB001,PR003,DRIVING,54.0
CB001,PR004,DRIVING,27.983333334
CB001,PR005,DRIVING,18.866666664
CB001,PR006,DRIVING,16.983333336
CB001,PR007,DRIVING,18.250000002
CB001,PR008,DRIVING,19.066666668
CB001,PR009,DRIVING,38.849999999999994
CB001,PR010,DRIVING,22.266666666
CB001,PR011,DRIVING,72.083333334
CB001,PR012,DRIVING,64.483333332
CB001,PR013,DRIVING,57.799999998000004
CB001,PR014,DRIVING,55.916666664000005
CB001,PR015,DRIVING,77.93333333400001
CB001,PR016,DRIVING,104.050000002
CB002,PR001,DRIVING,158.533333332
CB002,PR002,DRIVING,189.049999998
CB002,PR003,DRIVING,150.36666666600001
CB002,PR004,DRIVING,119.616666666
CB002,PR005,DRIVING,118.33333333200001
CB002,PR006,DRIVING,107.299999998
CB002,PR007,DRIVING,104.966666664
CB002,PR008,DRIVING,107.316666666
CB002,PR009,DRIVING,121.549999998
CB002,PR010,DRIVING,102.14999999999999
CB002,PR011,DRIVING,154.783333332
CB002,PR012,DRIVING,133.966666668
CB002,PR013,DRIVING,131.333333334
CB002,PR014,DRIVING,115.600000002
CB002,PR015,DRIVING,91.8
CB002,PR016,DRIVING,80.650000002
CB003,PR001,DRIVING,70.816666668
CB003,PR002,DRIVING,101.333333334
CB003,PR003,DRIVING,52.699999997999996
CB003,PR004,DRIVING,24.866666664
CB003,PR005,DRIVING,46.016666664
CB003,PR006,DRIVING,35.350000001999994
CB003,PR007,DRIVING,33.0
CB003,PR008,DRIVING,35.350000001999994
CB003,PR009,DRIVING,13.533333336
CB003,PR010,DRIVING,43.650000000000006
CB003,PR011,DRIVING,47.416666668
CB003,PR012,DRIVING,94.633333332
CB003,PR013,DRIVING,51.866666664
CB003,PR014,DRIVING,82.433333334
CB003,PR015,DRIVING,104.449999998
CB003,PR016,DRIVING,130.566666666
CB004,PR001,DRIVING,151.383333336
CB004,PR002,DRIVING,181.900000002
CB004,PR003,DRIVING,143.216666664
CB004,PR004,DRIVING,103.849999998
CB004,PR005,DRIVING,115.233333336
CB004,PR006,DRIVING,100.150000002
CB004,PR007,DRIVING,97.816666668
CB004,PR008,DRIVING,100.166666664
CB004,PR009,DRIVING,101.20000000200001
CB004,PR010,DRIVING,103.68333333599999
CB004,PR011,DRIVING,95.383333332
CB004,PR012,DRIVING,157.20000000000002
CB004,PR013,DRIVING,64.133333334
CB004,PR014,DRIVING,142.483333332
CB004,PR015,DRIVING,164.500000002
CB004,PR016,DRIVING,183.266666664
CB005,PR001,DRIVING,89.483333334
CB005,PR002,DRIVING,87.733333332
CB005,PR003,DRIVING,112.066666668
CB005,PR004,DRIVING,137.083333332
CB005,PR005,DRIVING,144.14999999999998
CB005,PR006,DRIVING,143.333333334
CB005,PR007,DRIVING,140.39999999999998
CB005,PR008,DRIVING,143.333333334
CB005,PR009,DRIVING,151.900000002
CB005,PR010,DRIVING,156.516666666
CB005,PR011,DRIVING,185.133333336
CB005,PR012,DRIVING,195.250000002
CB005,PR013,DRIVING,183.850000002
CB005,PR014,DRIVING,190.249999998
CB005,PR015,DRIVING,212.266666668
CB005,PR016,DRIVING,238.36666666800002
